,Tweet
40," Muaaaaantaab...... Dukung presiden 2024 bapak Anies Baswedan... 
Haaaai... Rakyat bangkitlah untuk menyongsong Indonesia yang lebih baik.. Berikan suaramu pada pemilu 2024 untuk partai-partai yang mengusung pak Anies Baswedan, yaitu Nasdem Demokrat dan PKS....."
41," Alhamdulillah....
Insyaallah untuk 10 tahun kedepan tidak akan ada kader PKS yg akan jadi presiden....
Insyaallah Anies Baswedan 2 periode..."
42, Kita berdoa semoga kualisi yg dibangun benar-benar menjadi kekuatan yg mampu menjadikan Anies Baswedan Menjadi Presiden
43," Vamos pak anies baswedan presiden,, ga peduli ada perjanjian apa itu ktanya.. Toh yg jelas ngomong timbul tenggelam bersama rakyat aja mlah timbul sendiri."
44,PKS Mendukung Anies Baswedan Menjadi Calon Presiden 2024 
45,"SAH!

PKS menyatakan secara resmi akan mengusung Anies Baswedan pada Pilpres 2024 selaku calon presiden.

"
46,"Bismillahi tawakkalna 'alallahi, Laa hawla walaa quwwata illaa billah...🤲
PKS RESMI usung Anies Baswedan sebagai calon Presiden RI 2024.
Mohon izin sedulur, sebangsa dan se tanah air...🙏🙏🙏

"
47,"  Di Amerika, Barack Obama  yang hitam jadi persiden. Di Philipina, Qorazon Aquino yang Cina jadi peresiden. Di Peru, Fujimori yang Jepang jadi presiden. Dan di Indonesia Anies Baswedan yang Yaman jadi presiden. Kalau terjadi maka ini berita yang biasa saja."
48,Akhirnya Koalisi Perubahan mencalonkan Bapak Anies Baswedan sebagai Calon Presiden pada Pemilu 2024.. 
49,"Bukan Anies Baswedan Apalagi Puan Maharani, Tokoh yang Satu Ini Dianggap Bisa Lanjutkan Perjuangan Presiden Jokowi "
50,  Semoga bapak Anies Baswedan selalu sehat dan semoga terlipilih menjadi presiden pak ditahun 2024 nanti. Salam kami dari  🙏🙏
51,Pemimpin intoleran  (kata ebong) tapi disetiap kunjungannya disambut dan dielu-elukan masyarakat. Bpk. Anies Baswedan Presiden RI 2024.
52,Justru ketika pemimpin yg menang dengan cara  mempolitisi agama. Lalu di calon kan menjadi presiden.itu akan menanbah ketegangan politik  semakin tinggi. Dan itu tidak mudah.apa lg orang seperti anies baswedan.itu sampai kapan pun dia akan di anggap sebagai pemimpin yg intoleran.
53,"Anies Baswedan Diteriaki Pak Presiden Saat Kunjungan ke Ponpes Yatofa Bodak Lombok Tengah
 
 via "
54, Ketar ketir Anies Baswedan jadi presiden
55, Anies Baswedan lh yg pantas jadi presiden
56," Iya Bahkan menipu Pak Prabowo dengan segala kata kata... begitu ya bang anies baswedan... berkoar koar saya tidak akan mencalonkan presiden untuk bersaing dengan pak prabowo... wkwkwkkw kang tipu gak amanah,,, pak prabowo di tipu apalagi rakyatnya... mikir mikir"
57, Semoga Anies Baswedan the Presiden RI 2024
58, Emang mau lengket terus kaya truk gandengan yang penting jangan di tinggal rakyat bravo pak Anies Baswedan presiden RI 2024 apapun isunya apalagi yang ngomong para bazerrr bazeeeerrr Rp yang lucu akut
59,   Bapak Anies Baswedan (BAB) mimpi jadi presiden!!! Program aja gak jelas!!!
60," Memang Pak Anies Baswedan gak bakal bisa dibandingkan dg calon para cebong, shg paling gampangnya berusaha menggagalkan. Insya Allah Pak Anies Baswedan Presiden RI th 2024."
61,"Fadli Zon dilanda kebimbangan, Dia harus memilih satu diantara dua calon presiden yang harus dimenangkan dalam Pilpres 2024 nanti. 

Fadli Zon sebetulnya lebih condong memilih Anies Baswedan, tapi demi kesetiaan pada Partai Gerindra' terpaksa ia mendukung Prabowo Subianto."
62,"  Sehat selalu,pak..Jaga stamina..semoga sehat selalu mengawal Anies Baswedan sampai jadi Presiden..sebagaimana bapak kawal waktu pak anies jadi gub. DKI..aamiin."
63,"    sedang menginjak injak harga diri Bangsa Indonesia dengan mencalon kan koruptor anies baswedan sebagai Capres , karya bambu mesum mau di jadi kan Presiden RI  ini lihat karya anies "
64,PPP tak mempersoalkan sikap anak Lulung yang menyatakan mendukung kepada Anies Baswedan sebagai calon presiden (capres). 
65,"Mari kawan kita doakan yg terbaik utk Bapak Anies Baswedan, smoga dia bs ttp sehat, kuat &amp; sejahtera spy dia bs melanjutkan visi &amp; misinya dlm mmimpin sebuah negara. Dukungan rakyat Indonesia sgt diprlukan spy beliau bs menggantikan Presiden Yaman yg tdk sepandai Pak Anies. Amin?"
66,"PRAYA (30 Januari): Silaturahmi Bakal Calon Presiden (Bacapres) usungan NasDem, Anies Baswedan ke Pondok  "
67,Ratusan Kader Nasdem dan Relawan Sambut Bakal Calon Presiden Anies Baswedan di Bandara Lombok 
68,"Mas  disambut masyarakat Lombok Nusa Tenggara Barat, BREMBE KABAR?......
senyuman indah harapan besar masyarakat Indonesia setiap kedatangan Presiden 2024 Anies Baswedan.
Kabar Lombok hari ini.👌👍 "
69,"Dai Daiyah Hidayatulllah Wilayah Kalsel siap menjadi bagian dari perjuangan DPW Aliansi Nasional Indonesia Sejahtera (ANIES) Kalsel untuk bersama-sama memenangkan Anies Baswedan sebagai Presiden 2024.

"
70,"Partai Demokrat dan Partai Keadilan Sejahtera (PKS) mendukung langkah putra almarhum Abraham Lunggana (Haji Lulung), Guruh Tirta Lunggana, yang siap mendukung Anies Baswedan sebagai calon presiden 2024. Baca berita selengkapnya di
 "
71, Anies Baswedan PRESIDEN RI 2024
72,Jejak rekam Anies Baswedan sebut tak akan maju jadi calon Presiden jika Prabowo nyapres beredar di dunia maya - Medan Insider 
73," Ini bukti kalau Anies Baswedan diperhitungkan dalam pilpres 2024,Semangat pak Anies semoga menjadi presiden 2024."
74," Sudah gak layak jadi presiden.
Banyak yang kecewa dengannya.
Dulu aumannya sekilas memang menggelegar, saat masuk kabinet bunyinya jadi mengeong.
Kasihan aja dengan bang Fadli zon, dulunya lantang skg ikut ikutan malah skg gak pernah dengar suaranya. 
Anies Baswedan next presiden"
75,"""Sikap tersebut menunjukkan ada prioritas utama lain saat ini dari Partai Demokrat sebagai bagian dari partai koalisi pendukung Anies Baswedan ketimbang penentuan calon wakil presiden.""  "
76," Daripada Anies MENIPU PAK PRABOWO,,,, katanya gak bakalan jadi presiden hahahah eko eko eloo sekali goreng anies baswedan munafik"
77," Anies baswedan oke, anies baswedan di buli, di hina, semakin tinggi ektebilitas nya, ganjar hanya di angkat oleh buzer, jateng termasuk propinsi miskin di Indonesia, buzer takut kehilangan cuan, kalau anies baswedan di takdir kan oleh Allah SWT jadi presiden"
78,Semoga kita semua selalu diberikan kesehatan dan senantiasa dalam lindungan Allah SWT serta semoga Pak Anies Baswedan menjadi Presiden RI 2024. Aamiin 🙏 
79, Semoga ada perubahan...pak Anies Baswedan PRESIDEN RI 2024 🫡
80," Anies Baswedan PRESIDEN, Indonesia Bahagia"
81," Gk akan berubah hati ini ttp pilih Anies Baswedan,Insya Allah 2024 jd presiden RI aamiin"
82, Mantap Pak Anies Baswedan presiden Indonesia
83,"Segala cara dihalalkan Rezim PKI dan Oligarki Cina untuk menjegal Anies Baswedan Presiden 2024 dukungan rakyat.

Betapa busuk dan liciknya kalian terus saja bermanuver politik kotor yang menjijikan lawan Anies seorang aja, cara pengecut kalian lakukan.
 "
84,"6.
“Hari ini Anies Baswedan adalah warga Indonesia yang terbaik untuk menjadi presiden. Pilihlah dia. Dan saya minta relawan bekerja keras untuk memenangkannya."" 
(Kiai Karrar, kiai khos Pamekasan)

 
 "
85,"2.
7000an santri, emak2, alumni ponpes, Jarnas ABW dan simpul lain, habib, kiai, alim ulama hadir di acara zikir bersama dan deklarasi dukungan untuk Anies Baswedan presiden 2024.

 
 "
86,"1.
Setelah tertunda berbulan2, deklarasi dukungan kiai untuk Anies Baswedan akhirnya terlaksana. 

Para kiai ingin banget deklarasi dukungan Anies presiden 2024.

 
 "
87,"  Semoga Anies Baswedan senantiasa di mudahkan jlnya untuk menjadi presiden RI berikutnya, Krn sebagian besar rakyat Indonesia membutuhkan perubahan yang lebih baik kelak di kemudian hari."
88,"Oligarki dan Rezim Penipu Ijazah dan identitas sedang jalankan politik kotor dan nafsu jahadnya utk menjegal Anies Baswedan jadi presiden.
 
 
Rakyat akan bangkitkan Revolusi Rakyat jika Anies dikriminalkan. "
89,      jgn mendahului kehendak tuhan kak .. bisa jadi nnti pak anies baswedan jd presiden RI ke 2024
90, Pak Anies Baswedan calon presiden 2024
91, Anies Baswedan presiden
92,Beda Cara Nasdem dan Demokrat Deklarasikan Anies Baswedan Sebagai Calon Presiden: JAKARTA – Partai NasDem dan Partai Demokrat telah resmi mendeklarasikan Mantan Gubernur DKI Jakarta Anies Baswedan sebagai calon presiden (capres) yang akan diusungnya di… 
93, ANIES BASWEDAN PRESIDEN RI 🤲
94,"Partai Demokrat Lombok Utara Siap Menangkan Anies Baswedan:  – Efek dari pernyataan dukungan Ketua Umum Demokrat, AHY terhadap Anies Baswedan menjadi calon presiden, sekretaris DPC PD Lombok 

The post Partai Demokrat Lombok Utara…  "
95,"Anak Haji Lulung Guruh Tirta mendatangi kantor DPP Nasdem di Menteng, Jakarta Pusat. Tirta mengungkapkan dukungan kepada Anies Baswedan sebagai calon presiden 2024. "
96,Teriakan Anies Baswedan Presiden Menggema Saat Deklarasi Ulama se Madura 
97,"Indonesia kebanjiran ngibul dan halu pemimpin penipu berijazah palsu.
Saatnya berpijak ke bumi lagi.
Pulihan juta rakyat Indonesia pasti tanpa keraguan memilih Anies Baswedan Presiden terpilih ke tahun 2024.
 
"
98," hahahhahahaha... sesungguhnya kalian dalam ketakutan

Anies Baswedan for presiden 2024"
99,"Dengan posisi Anies Baswedan sebagai calon presiden yang diusung dalam Pemilu 2024, membuat posisi tawar Partai NasDem semakin meningkat.  "
100, Bravo pak Anies Baswedan presiden RI 2024 apapun isunya apalagi yang ngomong para bazerrr bazeeeerrr Rp yang lucu akut 
101,"Kelakuan    ... Lakukan apapun itu  ! Mau halal / haram pkoknya  Bpk anies baswedan  jadi presiden, biar harkat dan martabat bangsa Yaman jatuhhh ke comberan bro.... "
102,"Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono memastikan partainya mendukung Anies Baswedan sebagai bakal calon presiden 2024. | Narasi Daily
AgusYudhoyono
AHY Pimpin Perubahan
"
103,"Nama Yenny Wahid sempat disebut-sebut sebagai salah satu nama calon wakil presiden (cawapres), yang dipertimbangkan untuk bersanding dengan Anies Baswedan oleh ketua DPP Partai Nasdem Effendy Choirie atau Gus Choi. Apa reaksi Yenny Wahid? 
 "
104,Kami kader partai nasdem selalu siap meramaikan dan memenangkan anies baswedan presiden 2024. 
105, Ayo PKS deklarasikan dong capres Anies Baswedan presiden 2024 biar sebelah kupingnya kepanasan😀
106, Takut ya......semoga saja pak Anies Baswedan menang jadi presiden di thn 2024...aaamiiiin
107,"  Semoga NasDem, PKS dan Demokrat segera melakukan Deklarasi bersama pencalonan Anies Baswedan sebagai Calon Presiden RI 2024"
108,             Semoga Negara kita Allah permudahkan segala sesuatu yang lebih baik dengan ada pak anies baswedan jadi presiden. 2024 mulai lembaran yg lebih Baik lewat presiden yg baru insya Allah
109, Pak Anies Baswedan pilihan rakyat Indonesia pemimpin yang baik dan cerdas presiden di tahun 2024
110," 
Deklarasi Ulama Se-Madura, Menggemakan Anies Baswedan Presiden 2024 "
111," Mudah2an Anies Baswedan Presiden RI 2024, Amiin......"
112,Ulama Dan Kyai Madura Deklarasikan Dukungan Anies Baswedan Jadi Presiden 2024 
113,"AHY dan Khofifah Dinilai Paling Cocok Dampingi Anies di Pemilu Mendatang: Calon wakil presiden yang paling pantas mendampingi Anies Baswedan ada dua, yaitu Gubernur Jawa Timur Khofifah Indar Parawansa dan Ketua Umum Partai Demokrat Agus Harimurti… "
114, Pak paloh gk takut sama Jokowi yg takut rezim saat ini pada pak anies baswedan makanya segala cara di lakukan untuk manjagal pak anies baswedan pak anies harus jadi presiden kalo Indonesia ingin menjadi lebih baik
115,Ia pun berharap PKS segera memutuskan pengusungan Anies Baswedan sebagai calon presiden (capres). 
116, Bismillah Anies  Baswedan Presiden 2024
117,"Walau Sudah Bertemu Jokowi, Demokrat Yakin Surya Paloh Tetap Capreskan Anies: Partai Nasdem tidak akan berubah sikap dalam menatap Pilpres 2024 mendatang. Nasdem tetap akan mengusung Anies Baswedan sebagai calon presiden sekalipun Ketua Umum Partai… "
118,"Anies Baswedan tidak punya adab dihadapan Presiden.

Diingatkan pak  soal Normalisasi &amp; Naturalisasi Sungai, kelihatan bgt congornya Johannes  komat kamit dihadapan pak Presiden"
119," Jateng msh suka pemimpin yg pura2 merakyat, spt masuk gorong-gorong, nyapu jalan, dll. Perlu edukasi lebih masif agar rakyat jateng paham presiden ideal untuk zaman modern ini adalah pak Anies Baswedan. Cerdas, komunikasi dan diplomasi oke, kebijakan pro rakyat bukan oligarki.."
120,Kalau Calon Presiden Tukang Ngibul langsung kita pilih Anies Baswedan
121,"Madura mengetuk pintu langit
Santri dan ulama doa bersama untuk 2024 Anies Baswedan Presiden 
 "
122,"Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono memastikan partainya mendukung Anies Baswedan sebagai bakal calon presiden 2024. | Narasi Daily


"
123,"Perempuan Yang Rendah Hati Itu Berulang Tahun.

Bbrp hari sebelumnya saya mendapat kiriman undangan acara ulang tahun bertempat diseputaran kemang. 
Ketika memasuki pintu masuk gedung, karangan bunga dari Calon Presiden Indonesia Anies Baswedan terpampang 
 "
124,"ini baru calon Presiden Anies Baswedan,is the best.."
125," Hanya Anies Baswedan pilihan yg tepat,Jawa tengah dukung mas anies presiden thn 2024"
126,"hanya Anies Baswedan pilihan Rakyat seluruh indonesia,Jawa Tengah dukung Anies for Presiden thn 2024"
127,"Ulama se Madura Kumpul di Sampang, Doa dan Deklarasi Anies Baswedan Presiden 2024 "
128, Berjuangan tanpa lelah datangi rumah per rumah. Semoga sukses 2024 Anies Baswedan presiden kita
129," Sudahlah pak Jhon, tidak usah repot-repot ngomentari Anies Baswedan, nggak ngefek,wong orang se-Indonesia tahunya Anies Baswedan itu calon Presiden bukan Heru"
130,"Alhamdulillah dibawah kepemimpinan Jokowi kita tidak krisis ekonomi spt 60 negara yg krisis ekonomi karena dampak covid 19 &amp; menjadi pasien IMF , maka pilih Presiden yg melanjutkan Presiden sebelumnya tidak spt Anies BaswEdan yang sok pinter membuat pembangunan Jakarta mangkrak ."
131, Anies Baswedan Presiden Republik Indonesia tahun 2024 
132,"Demokrat NTB merancang roadmap untuk memenangkan Anies Baswedan dalam Pemilu Presiden 2024. Hal ini sesuai arahan Ketua Umum Partai Demokrat, Agus Harimurti Yudhoyono.

   

"
133,"Teriakan Anies Baswedan Presiden 2024 menggema di sela-sela acara doa bersama, zikir dan deklarasi se Madura di Alun-alun Masjid Jami, Kota Sampang, Madura, Jawa Timur, Sabtu, 28 Januari 2023.
"
134,"Fixed.....
MANGKRAK NYA DIJAMAN GUBERNUR SEBELUM ANIES BASWEDAN....
PRESIDEN SBY YG MENYATAKAN SEHARUSNYA SELESAI MEDIO 2014...
KOK DIBILANG MANGKRAK SEJAK 6 TAHUN YLL...??
DARI 9-10 TAHUN YLL BOSS...
ANIES YG MENGURAINYA....
PARAH...
PARAH....
PARAH.....

"
135,"Teriakan Anies Baswedan Presiden Menggema Saat Deklarasi Ulama se Madura

"
136, Gini mo jd Presiden ? Sadarlah wahai pendukung anies baswedan...
137, Biarin kerjaan buzzer bos rakyat udah pada paham semua kalo pak anies baswedan yang terbaik jadi presiden
138,"  Pak Anies Baswedan adalah pilihan rakyat NTB, presiden di tahun 2024"
139," Kita doakan bp Anies Baswedan menjadi presiden RI tahun 2024-2029.
🤲🏾 Aamiin ya Rabbal 'alamiin"
140,       Siap..Insya Allah Waktunya anies baswedan menjadi presiden ri..bukan presiden tiktok
141,Mantan Ketua PBNU Kelahiran Sulsel Dukung Anies Baswedan jadi Presiden 
142,"Siapa kitaaa?? AP24 (relawan ANIES PEMIMPIN 2024) 
Siapa presiden kitaaa?? Anies.. Anies.. Anies
Takbir..! Allahu Akbar✊✊

Dari acara Silaturahmi Simpul Relawan Anies Baswedan,Gedung Akademi Bela Negara Partai Nasdem, Ahad 28 Januari 2023. "
143,"Dukung GANJAR BOKEP?⁉️
Ogah‼️

Dukung PRABOWO TIMBUL TENGGELAM⁉️
Ogah‼️

Dukung PUAN RATU MIC⁉️
Ogah‼️

Dukung CAK IMIN KARDUS DUREN⁉️
Ogah‼️

Dukung ERLANGGA BERINGIN
Ogah‼️

PALING RINGAN RESIKO DUNIA AKHIRAT....
Yaa Dukung ANIES BASWEDAN FOR PRESIDEN RI 2024  "
144,"Nama  sempat disebut-sebut sebagai salah satu nama calon wakil presiden (cawapres), yang dipertimbangkan untuk bersanding dengan Anies Baswedan oleh ketua DPP Partai Nasdem Effendy Choirie atau Gus Choi. Apa reaksi Yenny Wahid?"
145,"Mantul Nasdem ngasih garansi FPI-HTI tetap terlarang jika Anies Baswedan jadi presiden
     "
146," Apapun yg cebong bikin fitnah udh ga ngaruh dan ga laku,  Pak Anies Baswedan 2024 Presiden, harga mati, biar cebong tobat sblm mati."
147, Anies baswedan paling layak jadi presiden 2023
148,"Elektabilitas Pak Anies Baswedan kokoh puncak sebagai capres 2024 versi survei indopol mantap banget yaa kita dukung dan kawal terus Pak Anies sampai menjadi Presiden 

 "
149,"FPI dan HTI Bakal Tetap Dilarang Jika Anies Baswedan Terpilih Jadi Presiden, Refly Harun Salahkan Nasdem "
150," Hampir 99% pendukung Presiden ke 7 bapak Joko Widodo Mboten Sare dan terus mencari² kesalahannya Anies Baswedan dan tidak bisa menemukan nya... Kan GOBLOK tuh.. dasar pendukung TOLOL, apalagi macam si Ruhut ANJING ini yg ga punya otak, dan cuma punya nafsu doang dengkul jadi otak"
151,"Ulama se Madura Kumpul di Sampang, Doa dan Deklarasi Anies Baswedan Presiden 2024

"
152,"Nama Yenny Wahid sempat disebut-sebut sebagai salah satu nama calon wakil presiden (cawapres), yang dipertimbangkan untuk bersanding dengan Anies Baswedan oleh ketua DPP Partai Nasdem Effendy Choirie atau Gus Choi.


"
153,"    Semoga koalisi perubahan segera di deklarasikan,kami sekeluarga dan mengajak para tetangga untuk memilih Pak Anies Baswedan menjadi Presiden RI di th 2024 semoga Allah mengabulkan nya.Aamiin YRA"
154,"Anies Baswedan Pidato Kebangsaan Bakal Calon Presiden RI 2024

 

        "
155,"Silaturahmi dan Diskusi Relawan  diwakilkan Ketua dan Sekjen Seluruh Indonesia

Siap memenangkan Bpk Anies Baswedan menjadi Presiden RI.

Siap memenangkan baik di Darat, Udara dan Laut.

Siap kalian bertarung ya     "
156," Benar ucapanmu,kali ini gua setuju krn Anies Baswedan jg berhak dipilih jd presiden"
157," Anies Baswedan Presiden, Aamiin"
158,"Anies Baswedan
Insya Allah Presiden RI 2024-2029"
159,"    Koalisi Perubahan Semoga menang Pemilu 2024 menumbangkan rezim pdip &amp; jokowi. Rakyat mendoakan Pak Anies Baswedan menjadi Presiden. Buzzerrp2 d tangkap semua, Indonesia kembali Damai. Amin"
160,"Partai NasDem menyerahkan sepenuhnya keputusan calon wakil presiden (cawapres) kepada bakal calon presiden (bacapres) yang diusungnya, Anies Baswedan. "
161,"CBong, Buzzer,Kaka Pembina dan antek-anteknya sibuk mengikuti jadwal dan langkah Anies Baswedan kemanapun pergi. 
Saking takutnya kalau Anies menjadi Presiden.   "
162,"    Rakyat sangat mendambakan  ""Perubahan"", tapi perlu diwaspadai penjegalan Anda tidak hanya dari dalam negeri (rezim ini) dan pasti ""Tekanan"" dari Elite Global juga sangat keras.
Semoga Allah Azza waJalla mengabulkan do'a rakyat Indonesia untuk Anies Baswedan jadi Presiden Amanah."
163,"Nasib anies baswedan masih terlunta-lunta menunggu kepastiannya sebagai calon presiden dari koalisi tiga partai ini, dan partai yang mengusungnya pun sedang dalam dilema memilih cerai atau rajut dengan istana"
164,"    Koalisi Perubahan bikin PDIP dan Geng2 sebelah Mumet Ndase.Mantap! 
Demokrat Partaiku,Anies Baswedan Calon Presiden ku."
165,"    Inshaallah 2024 njenengan akan menjadi Presiden RI
Alfatihah.....3X

kekuasaan sebagai Alat untuk membela Rakyat kecil dan Harus Amanah Ya Pak. Anies Baswedan 
Kelak nanti akan njenengan pertanggungjawabkan di hadapan Tuhan. "
166,"Seniman kondang Butet Kartaredjasa menyentil keras calon presiden usungan NasDem Anies Baswedan yang selalu koar-koar menjual rekam jejaknya di Jakarta untuk menggaet dukungan masyarakat pada Pilpres 2024 mendatang.

Mahasiswa UI
Hujan "
167,"Dan Anies Baswedan mengkhianati pak Prabowo, mengingkari janji hny karena nafsu ingin menjadi presiden.. Dan seluruh rakyat Indonesian akan tertawa. Xkxkxkxk..🤣🤣 "
168, Haaaa.. Pengangguran sekelas gubernur saja di bilang bagaikan langit... Jokowi itu presiden sah dan di akui dunia.. Biar bagaimana pun yohanes anies baswedan itu gubernur pembohongan versi goggle .. Pecataan kok di bilang langit
169,"Partai Demokrat mendukung Anies Baswedan sebagai bakal calon presiden di pemilu 2024. Ketua Umum Partai Demokrat, Agus Harimurti Yudhoyono mengajak Partai NasDem dan PKS segera membentuk sekretariat koalisi perubahan.

Selengkapnya di  "
170,"Sekretaris Jenderal DPP Partai Demokrat Teuku Riefky Harsya berharap koalisi Partai Nasdem, PKS dan Demokrat segera mendeklarasikan Anies Baswedan sebagai calon presiden untuk Pemilu 2024.

 

     Holland"
171, Kalo bisa di seluruh Indonesia Anies Baswedan 95 % menang.. rakyat Indonesia perlu perubahan ke arah yg lbh baik... ANIES BASWEDAN Presiden 2024 👍👍👍👍
